,0,1
6371,gestikulacija,gestikuliranje
6372,gestikuliranje,gestikulacija
6373,gestikulirati,izraziti s gibom
6374,geto,judovska četrt
6375,getoizacija,izločitev
6376,getoizirati,izločiti
6377,geštel,telešček
6378,ghi,prečiščeno maslo
6379,gibalen,gonilen
6380,gibalo,gonilo
6381,gibanje,premikanje
6382,gibek,gibčen
6383,gibko,gibčno
6384,gibkost,gibčnost
6385,gibljivost,mobilnost
6386,gibčno,prožno
6387,gibčnost,prožnost
6388,gig,enovprežna kočija
6389,giga,gigue
6390,gigabajt,gigazlog
6391,giganstski,kolosalen
6392,gigant,velikan
6393,gigantski,velikanski
6394,gigazlog,gigabajt
6395,gigolo,žigolo
6396,gigue,giga
6397,gila,strupeni bradavičar
6398,gilda,ceh
6399,giljotinirati,obglaviti z giljotino
6400,gimnastika,telovadba
6401,gimnastičar,gimnastičarka
6402,gimnastičarka,gimnastičar
6403,gimnastičen,telovaden
6404,gimnastično,telovadno
6405,gimnazija,srednja šola
6406,gin,džin
6407,gincham,jing jang
6408,ginekolog,ginekologinja
6409,ginekologinja,ginekolog
6410,gingivitis,vnetje dlesni
6411,ginseng,ženšen
6412,gips,mavec
6413,gipsar,mavčar
6414,girlanda,venec
6415,girlande,girlandni okras
6416,girokompas,giroskopski kompas
6417,giromagneten,žiromagneten
6418,giroplan,avtogir
6419,giroskop,žiroskop
6420,giroskopski,žiroskopski
